LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
2.6714,1,1.4749,7.7011,0.0,0.679,2.0262,10.8225,3.9799,26.9234,-0.1866,Act1
3.1759,1,1.2355,7.879,103.3774,0.6389,2.1052,12.2643,3.4713,25.4776,0.1378,Act1
2.4536,0,1.2295,8.4107,60.6941,0.6418,2.1022,5.7787,3.7275,54.5715,0.0041,Act-1
1.2238,0,1.1729,8.0929,159.679,0.625,2.1064,10.192,3.7512,33.9964,-0.0656,Act-1
1.2625,1,1.3455,8.0644,18.0108,0.6651,2.1247,4.182,3.9237,24.6693,-0.1363,Act-1
1.308,0,1.2455,8.279,75.5805,0.6604,2.1101,6.6994,3.8311,42.3827,-0.2442,Act-1
3.4939,1,1.347,8.1828,60.6941,0.6729,2.0942,9.8773,3.9912,40.3317,0.1006,Act1
-1.0829,0,1.0921,8.8137,103.3774,0.6082,1.9662,4.7622,3.1407,18.1015,0.2075,Act-1
1.7247,0,1.027,7.8379,256.1001,0.6028,2.1565,17.7265,3.5865,42.8491,0.0068,Act1
2.6703,0,1.0278,7.7731,213.4167,0.604,2.1568,17.8451,3.5855,45.3837,0.0078,Act-1
-0.2719,0,1.0248,7.9508,384.1501,0.5986,2.1565,14.0951,3.5865,42.8491,-0.0018,Act-1
1.4058,0,1.0,7.2115,0.0,0.64,2.0985,3.2165,2.4228,44.5054,-0.0117,Act-1
-7.1918,0,1.0297,8.5341,572.8942,0.5767,2.0675,15.3789,3.2376,3.1856,-0.0238,Act-1
3.2876,1,1.2211,7.2121,0.0,0.6969,2.1635,3.8639,3.4563,88.5274,0.0148,Act-1
-0.3356,0,1.0,8.2469,0.0,0.6372,2.0017,2.0,1.247,9.9105,-0.2019,Act-1
0.6032,0,1.0,7.1111,0.0,0.5816,2.1367,6.6445,3.3119,22.8108,-0.0029,Act1
-1.7041,0,1.048,8.4583,42.6833,0.5551,2.0341,0.0,2.4824,3.0156,-1.2549,Act-1
-1.9713,0,1.0331,8.4545,85.3667,0.5585,2.0498,1.7548,2.7521,5.5501,-0.4527,Act-1
-1.1729,0,1.0,7.2143,0.0,0.5607,2.0709,4.0,3.0965,14.3495,-0.0013,Act1
0.3025,0,1.0,7.1667,0.0,0.5664,2.0622,8.0,3.098,24.4877,-0.0007,Act1
-1.7482,0,1.0,7.8571,42.6833,0.5433,2.0382,0.0,1.1169,2.1057,-0.2035,Act-1
-1.8571,0,1.037,8.1667,32.8972,0.5548,2.0405,0.0,2.7013,13.4606,0.0665,Act-1
-3.635,0,1.111,8.5735,155.3957,0.6232,2.0377,7.172,3.5451,17.8942,0.0441,Act-1
-2.1953,1,1.338,8.2083,121.3882,0.6314,2.1236,9.1154,4.0098,36.9456,0.0973,Act1
-0.907,0,1.1256,7.9493,42.6833,0.6339,2.0638,9.4004,3.6181,15.446,0.1105,Act-1
-0.4984,0,1.1256,7.7319,42.6833,0.6294,2.0865,8.8211,3.6181,15.446,0.1529,Act1
0.4545,1,1.123,7.6955,42.6833,0.6899,2.0838,6.204,3.7244,77.5326,0.1583,Act-1
0.4009,0,1.1396,7.6894,42.6833,0.6226,2.0804,7.0752,3.5549,20.515,0.263,Act-1
2.6316,1,1.3074,7.3175,0.0,0.6614,2.13,6.1688,3.2977,22.0228,0.1011,Act1
