LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
4.6208,1,1.4336,7.7139,18.0108,0.6777,2.1278,10.2549,3.8831,46.3376,0.1043,Act1
2.0875,1,1.4378,7.8148,16.7855,0.6753,2.0214,9.547,4.1398,24.6381,-0.1265,Act1
5.0614,1,1.2627,7.4063,18.0108,0.6531,2.0918,12.3317,3.8618,75.8731,-0.0847,Act1
4.3984,1,1.5696,7.3988,18.0108,0.6853,2.1968,11.0294,3.7981,26.1273,0.0973,Act-1
2.6881,1,1.3561,7.8715,36.0215,0.7937,1.9774,3.7798,3.7958,50.9388,0.0153,Act1
3.4517,1,1.4865,8.2698,42.6833,0.7119,2.0019,6.7589,3.8552,26.9355,-0.1087,Act1
1.4949,0,1.0329,8.0159,36.0215,0.5992,2.0333,10.3995,3.4228,47.5986,-0.1076,Act1
4.056,1,1.3424,7.413,0.0,0.67,2.0682,6.0125,3.6687,50.2893,-0.1153,Act1
2.1851,1,1.3195,8.2354,78.1922,0.6563,2.0844,8.5848,4.3723,57.554,0.0812,Act1
3.1409,0,1.0692,7.3922,60.6941,0.6073,2.1546,10.4728,3.2856,40.7425,0.0089,Act1
-0.1618,0,1.3299,8.0119,50.9079,0.685,2.0342,3.9203,3.2233,13.8325,-0.0292,Act-1
0.7898,0,1.3299,7.9405,50.9079,0.688,2.0409,4.7568,3.2233,13.8325,-0.0728,Act1
0.8702,0,1.3082,7.8431,50.9079,0.6575,2.0561,4.945,3.5127,16.5893,-0.0109,Act1
2.8905,1,1.6161,7.598,36.0215,0.7058,2.1151,11.5308,4.3523,65.0117,0.1566,Act1
1.3353,0,1.2096,8.0167,78.4598,0.5972,2.0175,8.2692,2.9707,20.2221,-0.1247,Act-1
4.4928,1,1.41,7.5202,0.0,0.7205,1.9802,7.1819,3.7311,57.1343,0.1817,Act1
3.7536,1,1.453,7.8953,60.6941,0.6908,2.1261,8.5746,3.7359,27.0715,0.0763,Act-1
3.4684,1,1.543,7.8623,0.0,0.7747,2.0086,8.421,3.8359,83.6943,-0.0557,Act1
3.6484,1,1.6153,7.64,0.0,0.7802,1.9921,9.7519,4.3587,84.2457,0.0092,Act1
3.5699,1,1.2301,7.3,0.0,0.6732,2.0675,5.4507,3.4399,46.779,0.1604,Act1
3.702,1,1.4594,7.4545,34.6738,0.6714,2.032,8.3199,3.6142,22.896,0.0407,Act1
